Sticker Number,Serial Number,Reinspection Version,Date,Terminal,Registration #,isAllPass?,Scale Registered,Scale Legal for Trade,Security Seal,Results,Type of Scale,Test 0 lbs,Test 50 lbs,Test 100 lbs,Test 150 lbs,Test 200 lbs,Test 250 lbs,Test 300 lbs,Test 350 lbs,Test 400 lbs,Test 450 lbs,Test 500 lbs,Test 550 lbs,Test 600 lbs,Test Second 0 lbs,Negative Error Difference Total,Positive Error Difference Total,Fail Negative Error Difference Total,Fail Positive Error Difference Total
001649-23,SIL02061,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001650-23,SIL02072,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001651-23,SIL02078,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001652-23,SIL02060,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001653-23,SIL02065,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001654-23,SIL02068,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001655-23,SIL01681,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001776-23,SIL01676,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001777-23,SIL01737,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
00679-23C,SIL01691,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Condemned,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Fail,Fail,Fail,NaN,NaN,NaN,NaN,NaN,NaN,Pass,46.50000,NaN,46.50000,NaN
001778-23,SIL01707,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001779-23,SIL01770,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,0.50000,NaN,NaN,NaN
001780-23,SIL01766,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001781-23,SIL01765,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,0.50000,NaN,NaN,NaN
001782-23,SIL01768,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001783-23,SIL01710,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001784-23,SIL01709,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001785-23,SIL01706,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001787-23,SIL01670,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001786-23,SILO01764,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001788-23,SIL01680,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001790-23,SIL01688,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,0.50000,NaN,NaN,NaN
001801-23,SIL01787,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001803-23,SIL01804,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001802-23,SIL01775,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001804-23,SIL01798,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001805-23,SIL01797,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001807-23,SIL01800,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001806-23,SIL01743,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001808-23,SIL01798,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001809-23,SIL01792,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
00680-23C,SIL01794,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Condemned,"<= 1,000 lbs",Pass,Fail,Fail,Fail,Fail,Fail,Fail,NaN,NaN,NaN,NaN,NaN,NaN,Pass,14.50000,3.50000,14.50000,3.50000
001810-23,SIL01789,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001811-23,SIL01793,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001812-23,SIL01712,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
00681-23C,SIL01744,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001814-23,027-23,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001815-23,277-23,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001817-23,271-23,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001816-23,273-23,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001791-23,06094-2,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001792-23,06094-11,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001793-23,06094-9,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001794-23,06094-5,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001795-23,06094-4,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001796-23,1752,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001797-23,06094-13,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001798-23,06094-17,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001799-23,06094-8,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001800-23,06094-15,1,10/31/2023,B,98713,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001813-23,SIL01776,1,10/31/2023,B,98713,No,NaN,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,NaN,NaN,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001818-23,13244-6,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001820-23,13244-9,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001819-23,13244-20,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001821-23,13244-9,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001822-23,13244-30,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
001823-23,13244-17,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
002130-23,13244-17,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
002131-23,13400-2,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
002132-23,13400-1,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
00690-23C,13244-40,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Condemned,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Fail,Pass,Fail,Pass,Fail,Fail,NaN,NaN,Pass,6.50000,0.50000,6.50000,0.50000
002133-23,13244-15,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,0.50000,NaN,NaN
002134-23,13244-38,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
00682-23C,13244-8,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Condemned,"<= 1,000 lbs",Pass,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,Fail,NaN,NaN,Pass,2750.00000,NaN,2750.00000,NaN
002135-23,13102-19,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,3.00000,NaN,NaN
00691-23C,13171-6,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Condemned,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,Fail,Fail,Fail,NaN,NaN,Pass,124.50000,NaN,124.50000,NaN
002136-23,13207-7,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
002139-23,13207-10,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,2.00000,NaN,NaN
002140-23,13732-2,1,10/31/2023,C,66045,No,Fail,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
002137-23,08031-1,1,10/31/2023,C,66045,No,NaN,NaN,NaN,Sealed,"<= 1,000 lbs",Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,NaN,NaN,Pass,NaN,NaN,NaN,NaN
